product_brand,product_title,predicted_category,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary
ASYSTEM,Daily Defense Moisturizer,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Skinn Cosmetics,Twenty Four Hour Youth Preservation Cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Pura,The Acqua Serum,Face Serum,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1
PuroBIO,Sebum-Balancing Matte Effect Serum,Face Serum,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Drunk Elephant,C-Firma Day Serum,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1
Formula 10.0.6,Be Berry Radiant,Acne Treatment,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
SeneGence,Seneserum C,Face Serum,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1
Drunk Elephant,Umbra Sheer Physical Daily Defence Spf 30,Sunscreen,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
LANCER,The Method: Nourish Blemish Control,Acne Treatment,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
AGE 20's,Moist Up Skin Fit Sun Cream SPF50+/PA++++,Sunscreen,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Smart Skin,Super C Moisturiser,Face Serum,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Drunk Elephant,Umbra 100% Mineral Cream SPF 30/pa+++ Tinted Face Sunscreen (new Formulation),Sunscreen,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1
Eminence Organic,Strawberry Rhubarb Hyaluronic Hydrator,Face Serum,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1
Inika,Phytofuse Renew Resveratrol Eye Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
In2it,Skinlucent Glow Setting Powder,Brightening Treatment,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1
Biologique Recherche,Creme Contour Yeux Et Lèvres Biofixine,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Dr. G,Dermoisture Barrier D Daily Lotion,Face Moisturizer,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Power Health Inalia,Age Delay Lifting Cream,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1
Goldfaden MD,Plant Profusion Energetic Eye Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Yadah,Daily Vegi Mask - Wine,Face Mask,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
Drunk Elephant,D-bronzi Anti-pollution Sunshine Drops,Face Serum,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Rodan + Fields,Redefine Triple Defense Lotion Broad Spectrum SPF 30,Sunscreen,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
lavera,Re-energizing Sleeping Eye Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
John Frieda,Sheer Blonde Go Blonder Shampoo,Shampoo,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Viorica,Vie Triple Action Face Exfoliator,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Glossier,Cleanser Concentrate,Face Serum,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
SeneGence,Lifting & Firming Neck Cream,Face Moisturizer,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Eveline,Glycol Therapy 5% Anti Wrinkle Correcting Cream,Face Moisturizer,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Laikou,Sakura Exfoliating Scrub,Exfoliant/Scrub,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
SkinScript Rx,Glycolic Cleanser,Face Cleanser,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1
City Beauty,Dermal Reset Exfoliating Concentrate,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1
BCL,AHA By Cleansing Research Wash,Face Cleanser,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1
PMD,Refinish Acid Serum,Face Serum,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
Spotles skn,Facial Gel Wash,Acne Treatment,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
green envee,Enzymatic Body Polish,Acne Treatment,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
Perfect White,AHA Body Serum,Face Serum,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1
PHARMACERIS T,Sebo-almond-claris Pure Skin Solution 3% Mandelic Acid,Acne Treatment,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
Vaunt Skincare,Multi Vitamin Hydrator,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1
Pili Ani,Deep Detox Volcanic Exfoliating Mask,Face Mask,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
Pili Ani,Self-care Night Recovery Oil,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
alverde,Sensitiv 24h Creme Bio-Hamamelis Bio-Kamille,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Kristin Ess,Weightless Hydration Daily Scalp + Hydration Mask,Face Mask,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Juvia’s Place,Let's Melt It Off Cleansing Balm,Face Cleanser,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1
Tower 28,Juicebalm Vegan Tinted Lip Balm,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Avira essentials,Radiance Face Cream,Face Moisturizer,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Amika,The Kure Intense Repair Mask,Face Mask,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Dr Hauschka,MED Ice Plant Face Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1
Shea Moisture,Jamaican Black Castor Oil - Strengthen And Restore Treatment Masque,Face Mask,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
plantanicals,Repairing Conditioner,Conditioner,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
POV Beauty,Amp It,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1
not your mother's,Curly Care Curl Defining Cream,Face Moisturizer,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
Juice to Cleanse,Less Less Foam Cleanser,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Isntree,TW-Real Eye Cream,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1
Lelive,Seatox | Marine Algae + Aloe Detoxifying Mask,Face Mask,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Shea Moisture,Superfruit Masque,Face Mask,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Phytoervas,Condicionador Controle De Oleosidade Gengibre E Menta,Conditioner,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
L'Oreal,Bronze To Paradise,Face Moisturizer,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
The Body Shop,Mango Lip Butter,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
Kristin Ess,The One Signature Hair Water,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
PMD,Regenerate: Anti-Aging Recovery Moisturizer,Face Moisturizer,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Truly Beauty,Unicorn Cbd Body Butter,Body Moisturizer,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1
Zydus Cadila,Lipbless Strawberry Flavour Lip Cream,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1
Bielenda,Fruit Fusion Enzymatic Face Mask-Peeling,Face Mask,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
French Girl,Neroli Creme Fraiche,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1
Mela X Cosmetics,Lemonosity Night Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shea Moisture,Manuka Honey & Yoghurt,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Kristin Ess,Style Reviving Brunette Dry Shampoo,Shampoo,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Laura Mercier,The Perfect Cream Multi-Tasking Moisturizer,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Revolution,Haircare Deeply Define My Curls Leave In Styling Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Delhicious,Scalp-eaze Balm - Amla Berry & Mango Butter,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Elemis,Superfood AHA Glow Cleansing Butter,Brightening Treatment,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1
KingCurls,Elite Moisture Conditioner,Conditioner,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
L'Oreal Professionnel,L'oréal Paris Blush Of Paradise Life Is A Peach,Face Moisturizer,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
Dewpre,Paeonia Brightening Cream,Brightening Treatment,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
EltaMD,Moisture-Rich Body Creme,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Coony,Cicamidas 5 Body Lotion,Body Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
I'm Meme,I'm Multi Stick Dual,Face Moisturizer,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
Stubborn Cosmetics,Face Smooch Moisturizer (White Ingredients),Face Serum,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1
Blond brilliance,Bonding Shampoo,Shampoo,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Botanic Heal boH,Boh Probioderm Repair Eye Cream,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Just Herbs,Lip Mask,Face Mask,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0
Clarins,Joli Rouge,Face Moisturizer,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1
Goodin By Nature,Light Shea Face Cream Soft As Petals,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Bushbalm,Curve Firming Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
follain,Ultra Hydrating Mask: Restore + Soften,Face Mask,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1
Eveline,Rich Coconut Ultra-Nourishing Coconut Face Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Whamisa,Bb Cream Spf50,Face Moisturizer,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1
TaShe,Lipid Filler Restoration Of Cuticle,Face Moisturizer,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1
Everyone,"Face, 2 In 1 Exfoliator + Mask",Face Mask,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
MINCER Pharma,Vita C Infusion Deeply Moisturizing Day Cream,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Scents of Man,Rose Absolute Moisturising Cream,Face Moisturizer,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Skintist,Anti-ageing Night Care With Hyaluronic Acid,Face Serum,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1
Ciracle,Anti-Redness K Lotion,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Bondi Boost,Overnight Magic Hair Mask,Face Mask,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
TRUE BOTANICALS,Moisture Lock Glossy Lip Balm,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Babé Laboratorios,Healthy Aging+ Multi Action Cream For Mature Skin,Face Moisturizer,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Frudia,Citrus Brightening Serum,Face Serum,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1
l'amara,Moisture Boost Emulsion,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Aveda,Nutriplenish shampoo light moisture,Shampoo,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Noreva,Aquareva Riche Moisturizing Cream 24H,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
NatureLab TOKYO,Perfect Volume Conditioner,Conditioner,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
OSSOLA Skincare,Bbsoft Aha Creme,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Diane Moist,Moist & Shine Shampoo,Shampoo,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1
Burt's Bees,Nourishing Eyeliner,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Natinuel,Exohyal face cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Grow & Gather,Signature Foot + Hand Salve,Face Moisturizer,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
Sexy Hair,Seal The Deal,Face Serum,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Nerds Beauty,Peptide + Hyaluronic Acid Plumping Lip Treatment Nude Mauve,Face Moisturizer,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
SheaMoisture,Lavender & Wild Orchid Hand & Body Scrub,Exfoliant/Scrub,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Palmer's,Palmers Cocoa Butter Foot Magic Lotion,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Nubian Heritage,Raw Shea Butter Hand And Body Scrub,Exfoliant/Scrub,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Beverly Hills MD,Age Defy Retinol Body Oil,Face Moisturizer,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
it Cosmetics,No. 50 Serum Anti-Aging Collagen Veil Primer,Face Serum,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Mizon,Watermax Moisture BB Cream SPF 30/pa+++,Sunscreen,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
AA,Aloes Pink Lip Care Scrub,Exfoliant/Scrub,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Meow Meow Tweet,Skin Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunae Body,Accelerating Tanning Oil,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
L’anza,Curls Shampoo,Shampoo,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Nubian Heritage,Body Lotion - Goat'S Milk & Chai,Body Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
THE LAB by blanc doux,Oligo Hyaluronic Acid Calming+ Cream,Face Moisturizer,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Revolution,Haircare Deeply Co-Wash My Curls Nourishing Co-Wash,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Revolution Skincare,Nurture Ultimate Skin Strength Daily Moisturiser,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1
Omorfee,Body Softening Moisturizer,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
Eczema Honey,Nourishing Lip Balm,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
Skin Creamery,The Balm,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Sisley,Mattifying and Beautifying Pressed Powder,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
SheaMoisture,African Black Soap Balancing Moisturizer,Face Cleanser,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Peach,Soothing Body Lotion Refillable Stick,Body Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1
Tarte,Sculpt Tape Contour Cool Bronze,Face Moisturizer,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
סבון מיכל,קרם פנים עם חמאת מנגו ונר הלילה לעור רגיל או מעורב,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Skinfood,Avocado Rich Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
BANOBAGI,Rejuvenating Vital Eye Cream,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Dr. Jart+,Rubber Mask Bright Lover,Face Mask,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
COSRX,Lip Sleep - Balancium Ceramide Lip Butter Sleeping Mask,Face Mask,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
Catrice,Butter Drippin' Glossy Lip Balm 050 Cherry Delicious,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
Camille Rose,Cleansing Milk,Face Cleanser,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
Cake,Desserted Island® Enriched Hand Lotion,Face Moisturizer,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Earthworm,Wrinkle Butter,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Skin rocks,Retinoid 1,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Korres,Lip Oil,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
Freshly Cosmetics,Vitamin C Concentrate Serum,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Sesderma,Sesretinal Young Skin Moisturizing Gel,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
KIKO Milano,3d Hydra Lipgloss,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
Dermika,Re. Visage Lifting Cream 50+,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Solimo,Night Nourishing Cream,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
AA,Japan Rituals Eye Cream,Face Moisturizer,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Neora,Age Iq® Night Cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
REN,Bio Retinoid™ Anti-Aging Cream,Face Moisturizer,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1
Pilgrim,Squalane Under Eye Cream With Phyto-retinol And Caffiene,Face Serum,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
REN,Bio Retinoid™ Anti-Wrinkle Concentrate Oil,Face Serum,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Image Skincare,Image MD Restoring Brightening Créme,Brightening Treatment,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Le Mieux,Brightening Serum,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
KOOL BEAUTY.,Young Forever Retinol Like [K2] Anti-Aging Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
bareMinerals,Ageless Firming Sleeping Mask,Face Mask,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Lirene,Oh Just Peachy Maselko Do Demakijazu,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1
KIKO Milano,3d Hydra Lipgloss,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Lierac,Premium Anti-Aging Duo Mask,Face Mask,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
biocule,Spotless Serum,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1
Lierac,Premium The Absolute Anti-Aging Silky Cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Remescar,Retinol Anti-ageing Serum,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
själ,Saphir Concentrate Anti-Aging Face Oil,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Image Skincare,Iluma Intense Brightening Cream,Brightening Treatment,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Sesderma,Lactyferrin Sebum Facial Gel,Face Serum,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Lierac,Premium The Absolute Anti-Aging Voluptuous Cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Sesderma,Sesretinal Mature Skin Liposomal Serum,Face Serum,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Ocosmedics,Sk1n Foundation,Face Moisturizer,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Epionce,Intense Defence Serum,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
